full_names	species	clades	nb_rnaseq
Apis_mellifera	Apis_mellifera	Apis mellifera	Hymenoptera	40
Apium_graveolens	Apium_graveolens	Apium graveolens	Embryophyta	15
Apostasia_shenzhenica	Apostasia_shenzhenica	Apostasia shenzhenica	Embryophyta	7
Apteryx_rowi	Apteryx_rowi	Apteryx rowi	Aves	16
Aquila_chrysaetos	Aquila_chrysaetos	Aquila chrysaetos	Aves	3
Aquilegia_coerulea	Aquilegia_coerulea	Aquilegia coerulea	Embryophyta	50
Arabidopsis_lyrata	Arabidopsis_lyrata	Arabidopsis lyrata	Embryophyta	50
Arabidopsis_thaliana	Arabidopsis_thaliana	Arabidopsis thaliana	Embryophyta	50
Arachis_hypogaea	Arachis_hypogaea	Arachis hypogaea	Embryophyta	50
Arachis_ipaensis	Arachis_ipaensis	Arachis ipaensis	Embryophyta	35
Archocentrus_centrarchus	Archocentrus_centrarchus	Archocentrus centrarchus	Teleostei	36
Arctia_plantaginis	Arctia_plantaginis	Arctia plantaginis	Lepido Diptera	50
Armadillidium_vulgare	Armadillidium_vulgare	Armadillidium vulgare	Other Invertebrates	15
Arvicanthis_niloticus	Arvicanthis_niloticus	Arvicanthis niloticus	Mammalia	8
Arvicola_amphibius	Arvicola_amphibius	Arvicola amphibius	Mammalia	6
Asparagus_officinalis	Asparagus_officinalis	Asparagus officinalis	Embryophyta	50
Asterias_rubens	Asterias_rubens	Asterias rubens	Other Invertebrates	4
Athalia_rosae	Athalia_rosae	Athalia rosae	Hymenoptera	6
Atta_cephalotes	Atta_cephalotes	Atta cephalotes	Hymenoptera	2
Bactrocera_oleae	Bactrocera_oleae	Bactrocera oleae	Lepido Diptera	48
Bagarius_yarrelli	Bagarius_yarrelli	Bagarius yarrelli	Teleostei	11
Balaenoptera_acutorostrata	Balaenoptera_acutorostrata	Balaenoptera acutorostrata	Mammalia	8
Belonocnema_treatae	Belonocnema_treatae	Belonocnema treatae	Hymenoptera	14
Bemisia_tabaci	Bemisia_tabaci	Bemisia tabaci	Other Insecta	50
Benincasa_hispida	Benincasa_hispida	Benincasa hispida	Embryophyta	50
Beta_vulgaris	Beta_vulgaris	Beta vulgaris	Embryophyta	50
Betta_splendens	Betta_splendens	Betta splendens	Teleostei	50
Bison_bison	Bison_bison	Bison bison	Mammalia	24
Blattella_germanica	Blattella_germanica	Blattella germanica	Other Insecta	30
Bombus_bifarius	Bombus_bifarius	Bombus bifarius	Hymenoptera	6
Bombus_terrestris	Bombus_terrestris	Bombus terrestris	Hymenoptera	33
Bombus_vancouverensis	Bombus_vancouverensis	Bombus vancouverensis	Hymenoptera	7
Bombus_vosnesenskii	Bombus_vosnesenskii	Bombus vosnesenskii	Hymenoptera	50
Bombyx_mori	Bombyx_mori	Bombyx mori	Lepido Diptera	14
Bos_indicus	Bos_indicus	Bos indicus	Mammalia	22
Bos_taurus	Bos_taurus	Bos taurus	Mammalia	26
Bothrops_jararaca	Bothrops_jararaca	Bothrops jararaca	Other Vertebrates	39
Brachypodium_distachyon	Brachypodium_distachyon	Brachypodium distachyon	Embryophyta	50
Branchiostoma_floridae	Branchiostoma_floridae	Branchiostoma floridae	Other Invertebrates	50
Brassica_carinata	Brassica_carinata	Brassica carinata	Embryophyta	11
Brassica_cretica	Brassica_cretica	Brassica cretica	Embryophyta	16
Brassica_napus	Brassica_napus	Brassica napus	Embryophyta	50
Brassica_oleracea	Brassica_oleracea	Brassica oleracea	Embryophyta	50
Brassica_rapa	Brassica_rapa	Brassica rapa	Embryophyta	50
Bubalus_bubalis	Bubalus_bubalis	Bubalus bubalis	Mammalia	50
Caenorhabditis_elegans	Caenorhabditis_elegans	Caenorhabditis elegans	Nematoda	50
Caenorhabditis_nigoni	Caenorhabditis_nigoni	Caenorhabditis nigoni	Nematoda	40
Cajanus_cajan	Cajanus_cajan	Cajanus cajan	Embryophyta	50
Calidris_pugnax	Calidris_pugnax	Calidris pugnax	Aves	30
Caligus_rogercresseyi	Caligus_rogercresseyi	Caligus rogercresseyi	Other Invertebrates	7
Callithrix_jacchus	Callithrix_jacchus	Callithrix jacchus	Mammalia	14
Callorhinchus_milii	Callorhinchus_milii	Callorhinchus milii	Other Vertebrates	11
Camarhynchus_parvulus	Camarhynchus_parvulus	Camarhynchus parvulus	Aves	5
Camelina_sativa	Camelina_sativa	Camelina sativa	Embryophyta	50
Camponotus_floridanus	Camponotus_floridanus	Camponotus floridanus	Hymenoptera	37
Canis_lupus	Canis_lupus	Canis lupus	Mammalia	5
Cannabis_sativa	Cannabis_sativa	Cannabis sativa	Embryophyta	50
Capsella_rubella	Capsella_rubella	Capsella rubella	Embryophyta	50
Capsicum_annuum	Capsicum_annuum	Capsicum annuum	Embryophyta	43
Capsicum_baccatum	Capsicum_baccatum	Capsicum baccatum	Embryophyta	25
Capsicum_chinense	Capsicum_chinense	Capsicum chinense	Embryophyta	50
Carassius_auratus	Carassius_auratus	Carassius auratus	Teleostei	49
