full_names	species	clades	nb_rnaseq
Panthera_tigris	Panthera_tigris	Panthera tigris	Mammalia	3
Pantherophis_guttatus	Pantherophis_guttatus	Pantherophis guttatus	Other Vertebrates	35
Papaver_somniferum	Papaver_somniferum	Papaver somniferum	Embryophyta	50
Papilio_machaon	Papilio_machaon	Papilio machaon	Lepido Diptera	10
Paramecium_tetraurelia	Paramecium_tetraurelia	Paramecium tetraurelia	Other Invertebrates	14
Paramormyrops_kingsleyae	Paramormyrops_kingsleyae	Paramormyrops kingsleyae	Teleostei	38
Parasponia_andersonii	Parasponia_andersonii	Parasponia andersonii	Embryophyta	46
Patagioenas_fasciata	Patagioenas_fasciata	Patagioenas fasciata	Aves	10
Pecten_maximus	Pecten_maximus	Pecten maximus	Other Invertebrates	50
Pelodiscus_sinensis	Pelodiscus_sinensis	Pelodiscus sinensis	Other Vertebrates	2
Penaeus_chinensis	Penaeus_chinensis	Penaeus chinensis	Other Invertebrates	50
Penaeus_vannamei	Penaeus_vannamei	Penaeus vannamei	Other Invertebrates	50
Perca_fluviatilis	Perca_fluviatilis	Perca fluviatilis	Teleostei	46
Periophthalmus_magnuspinnatus	Periophthalmus_magnuspinnatus	Periophthalmus magnuspinnatus	Teleostei	5
Peromyscus_maniculatus	Peromyscus_maniculatus	Peromyscus maniculatus	Mammalia	50
Phalaenopsis_equestris	Phalaenopsis_equestris	Phalaenopsis equestris	Embryophyta	13
Phascolarctos_cinereus	Phascolarctos_cinereus	Phascolarctos cinereus	Mammalia	50
Phaseolus_vulgaris	Phaseolus_vulgaris	Phaseolus vulgaris	Embryophyta	50
Phoenix_dactylifera	Phoenix_dactylifera	Phoenix dactylifera	Embryophyta	50
Photinus_pyralis	Photinus_pyralis	Photinus pyralis	Other Insecta	30
Phtheirospermum_japonicum	Phtheirospermum_japonicum	Phtheirospermum japonicum	Embryophyta	50
Phyllostomus_discolor	Phyllostomus_discolor	Phyllostomus discolor	Mammalia	8
Physcomitrium_patens	Physcomitrium_patens	Physcomitrium patens	Embryophyta	50
Pieris_rapae	Pieris_rapae	Pieris rapae	Lepido Diptera	50
Piliocolobus_tephrosceles	Piliocolobus_tephrosceles	Piliocolobus tephrosceles	Mammalia	50
Pipistrellus_kuhlii	Pipistrellus_kuhlii	Pipistrellus kuhlii	Mammalia	6
Pipra_filicauda	Pipra_filicauda	Pipra filicauda	Aves	36
Pistacia_vera	Pistacia_vera	Pistacia vera	Embryophyta	42
Plutella_xylostella	Plutella_xylostella	Plutella xylostella	Lepido Diptera	15
Podarcis_muralis	Podarcis_muralis	Podarcis muralis	Other Vertebrates	50
Pogonomyrmex_barbatus	Pogonomyrmex_barbatus	Pogonomyrmex barbatus	Hymenoptera	39
Polistes_canadensis	Polistes_canadensis	Polistes canadensis	Hymenoptera	14
Polistes_dominula	Polistes_dominula	Polistes dominula	Hymenoptera	12
Pollicipes_pollicipes	Pollicipes_pollicipes	Pollicipes pollicipes	Other Invertebrates	5
Populus_alba	Populus_alba	Populus alba	Embryophyta	50
Populus_deltoides	Populus_deltoides	Populus deltoides	Embryophyta	50
Populus_euphratica	Populus_euphratica	Populus euphratica	Embryophyta	50
Populus_trichocarpa	Populus_trichocarpa	Populus trichocarpa	Embryophyta	50
Prunus_armeniaca	Prunus_armeniaca	Prunus armeniaca	Embryophyta	50
Prunus_avium	Prunus_avium	Prunus avium	Embryophyta	50
Prunus_dulcis	Prunus_dulcis	Prunus dulcis	Embryophyta	50
Prunus_mume	Prunus_mume	Prunus mume	Embryophyta	50
Prunus_persica	Prunus_persica	Prunus persica	Embryophyta	50
Pseudochaenichthys_georgianus	Pseudochaenichthys_georgianus	Pseudochaenichthys georgianus	Teleostei	35
Pteropus_giganteus	Pteropus_giganteus	Pteropus giganteus	Mammalia	6
Pteropus_vampyrus	Pteropus_vampyrus	Pteropus vampyrus	Mammalia	15
Puma_concolor	Puma_concolor	Puma concolor	Mammalia	3
Punica_granatum	Punica_granatum	Punica granatum	Embryophyta	50
Puntigrus_tetrazona	Puntigrus_tetrazona	Puntigrus tetrazona	Teleostei	50
Quercus_suber	Quercus_suber	Quercus suber	Embryophyta	45
Ramazzottius_varieornatus	Ramazzottius_varieornatus	Ramazzottius varieornatus	Other Invertebrates	23
Raphanus_sativus	Raphanus_sativus	Raphanus sativus	Embryophyta	50
Rattus_norvegicus	Rattus_norvegicus	Rattus norvegicus	Mammalia	362
Rhamnella_rubrinervis	Rhamnella_rubrinervis	Rhamnella rubrinervis	Embryophyta	4
Rhododendron_simsii	Rhododendron_simsii	Rhododendron simsii	Embryophyta	40
Rhododendron_williamsianum	Rhododendron_williamsianum	Rhododendron williamsianum	Embryophyta	1
Ricinus_communis	Ricinus_communis	Ricinus communis	Embryophyta	50
Rosa_chinensis	Rosa_chinensis	Rosa chinensis	Embryophyta	50
Salix_brachista	Salix_brachista	Salix brachista	Embryophyta	1
Salix_dunnii	Salix_dunnii	Salix dunnii	Embryophyta	14
Salix_suchowensis	Salix_suchowensis	Salix suchowensis	Embryophyta	24
Salmo_salar	Salmo_salar	Salmo salar	Teleostei	24
Sander_lucioperca	Sander_lucioperca	Sander lucioperca	Teleostei	17
Scaptodrosophila_lebanonensis	Scaptodrosophila_lebanonensis	Scaptodrosophila lebanonensis	Lepido Diptera	6
Schistosoma_haematobium	Schistosoma_haematobium	Schistosoma haematobium	Other Invertebrates	40
Scophthalmus_maximus	Scophthalmus_maximus	Scophthalmus maximus	Teleostei	50
Selaginella_moellendorffii	Selaginella_moellendorffii	Selaginella moellendorffii	Embryophyta	50
Senna_tora	Senna_tora	Senna tora	Embryophyta	39
Seriola_lalandi	Seriola_lalandi	Seriola lalandi	Teleostei	50
Sesamum_indicum	Sesamum_indicum	Sesamum indicum	Embryophyta	50
Setaria_italica	Setaria_italica	Setaria italica	Embryophyta	50
Setaria_viridis	Setaria_viridis	Setaria viridis	Embryophyta	50
Sinapis_alba	Sinapis_alba	Sinapis alba	Embryophyta	13
Sinocyclocheilus_anshuiensis	Sinocyclocheilus_anshuiensis	Sinocyclocheilus anshuiensis	Teleostei	4
Sinocyclocheilus_rhinocerous	Sinocyclocheilus_rhinocerous	Sinocyclocheilus rhinocerous	Teleostei	4
Solanum_chilense	Solanum_chilense	Solanum chilense	Embryophyta	50
Solanum_pennellii	Solanum_pennellii	Solanum pennellii	Embryophyta	50
Solanum_tuberosum	Solanum_tuberosum	Solanum tuberosum	Embryophyta	50
Solenopsis_invicta	Solenopsis_invicta	Solenopsis invicta	Hymenoptera	23
Sorghum_bicolor	Sorghum_bicolor	Sorghum bicolor	Embryophyta	50
Spinacia_oleracea	Spinacia_oleracea	Spinacia oleracea	Embryophyta	50
Spirodela_intermedia	Spirodela_intermedia	Spirodela intermedia	Embryophyta	2
Stegodyphus_dumicola	Stegodyphus_dumicola	Stegodyphus dumicola	Other Invertebrates	50
Steinernema_carpocapsae	Steinernema_carpocapsae	Steinernema carpocapsae	Nematoda	50
Striga_asiatica	Striga_asiatica	Striga asiatica	Embryophyta	8
Strigops_habroptila	Strigops_habroptila	Strigops habroptila	Aves	5
Struthio_camelus	Struthio_camelus	Struthio camelus	Aves	30
Sturnus_vulgaris	Sturnus_vulgaris	Sturnus vulgaris	Aves	7
Stylophora_pistillata	Stylophora_pistillata	Stylophora pistillata	Other Invertebrates	50
Suricata_suricatta	Suricata_suricatta	Suricata suricatta	Mammalia	21
Sus_scrofa	Sus_scrofa	Sus scrofa	Mammalia	55
Tachysurus_fulvidraco	Tachysurus_fulvidraco	Tachysurus fulvidraco	Teleostei	50
Takifugu_flavidus	Takifugu_flavidus	Takifugu flavidus	Teleostei	10
Talpa_occidentalis	Talpa_occidentalis	Talpa occidentalis	Mammalia	19
Tarenaya_hassleriana	Tarenaya_hassleriana	Tarenaya hassleriana	Embryophyta	50
Teladorsagia_circumcincta	Teladorsagia_circumcincta	Teladorsagia circumcincta	Nematoda	32
Terrapene_carolina	Terrapene_carolina	Terrapene carolina	Other Vertebrates	1
Tetracentron_sinense	Tetracentron_sinense	Tetracentron sinense	Embryophyta	18
Tetranychus_urticae	Tetranychus_urticae	Tetranychus urticae	Other Invertebrates	43
Thalictrum_thalictroides	Thalictrum_thalictroides	Thalictrum thalictroides	Embryophyta	2
Thamnophis_elegans	Thamnophis_elegans	Thamnophis elegans	Other Vertebrates	33
Thamnophis_sirtalis	Thamnophis_sirtalis	Thamnophis sirtalis	Other Vertebrates	9
Theobroma_cacao	Theobroma_cacao	Theobroma cacao	Embryophyta	50
Thrips_palmi	Thrips_palmi	Thrips palmi	Other Insecta	22
Trachemys_scripta	Trachemys_scripta	Trachemys scripta	Other Vertebrates	50
Trema_orientale	Trema_orientale	Trema orientale	Embryophyta	5
Tribolium_castaneum	Tribolium_castaneum	Tribolium castaneum	Other Insecta	14
Trichechus_manatus	Trichechus_manatus	Trichechus manatus	Mammalia	11
Trichogramma_pretiosum	Trichogramma_pretiosum	Trichogramma pretiosum	Hymenoptera	4
Trichonephila_clavipes	Trichonephila_clavipes	Trichonephila clavipes	Other Invertebrates	22
Trichuris_suis	Trichuris_suis	Trichuris suis	Nematoda	25
Trifolium_subterraneum	Trifolium_subterraneum	Trifolium subterraneum	Embryophyta	12
Tripterygium_wilfordii	Tripterygium_wilfordii	Tripterygium wilfordii	Embryophyta	21
Triticum_dicoccoides	Triticum_dicoccoides	Triticum dicoccoides	Embryophyta	50
Triticum_turgidum	Triticum_turgidum	Triticum turgidum	Embryophyta	50
Tursiops_truncatus	Tursiops_truncatus	Tursiops truncatus	Mammalia	50
Tyto_alba	Tyto_alba	Tyto alba	Aves	6
Ursus_arctos	Ursus_arctos	Ursus arctos	Mammalia	45
Vanilla_planifolia	Vanilla_planifolia	Vanilla planifolia	Embryophyta	44
Varanus_komodoensis	Varanus_komodoensis	Varanus komodoensis	Other Vertebrates	7
Varroa_destructor	Varroa_destructor	Varroa destructor	Other Invertebrates	50
Vespula_pensylvanica	Vespula_pensylvanica	Vespula pensylvanica	Hymenoptera	8
Vespula_vulgaris	Vespula_vulgaris	Vespula vulgaris	Hymenoptera	24
Vicugna_pacos	Vicugna_pacos	Vicugna pacos	Mammalia	20
Vigna_angularis	Vigna_angularis	Vigna angularis	Embryophyta	50
Vigna_radiata	Vigna_radiata	Vigna radiata	Embryophyta	50
Vigna_unguiculata	Vigna_unguiculata	Vigna unguiculata	Embryophyta	50
Vitis_riparia	Vitis_riparia	Vitis riparia	Embryophyta	50
Vitis_vinifera	Vitis_vinifera	Vitis vinifera	Embryophyta	36
Vulpes_lagopus	Vulpes_lagopus	Vulpes lagopus	Mammalia	30
Vulpes_vulpes	Vulpes_vulpes	Vulpes vulpes	Mammalia	50
Xenopus_laevis	Xenopus_laevis	Xenopus laevis	Other Vertebrates	36
Xenopus_tropicalis	Xenopus_tropicalis	Xenopus tropicalis	Other Vertebrates	6
Zea_mays	Zea_mays	Zea mays	Embryophyta	47
Zerene_cesonia	Zerene_cesonia	Zerene cesonia	Lepido Diptera	24
Ziziphus_jujuba	Ziziphus_jujuba	Ziziphus jujuba	Embryophyta	50
Zonotrichia_albicollis	Zonotrichia_albicollis	Zonotrichia albicollis	Aves	50
Zootermopsis_nevadensis	Zootermopsis_nevadensis	Zootermopsis nevadensis	Other Insecta	53
Zootoca_vivipara	Zootoca_vivipara	Zootoca vivipara	Other Vertebrates	5
Zostera_marina	Zostera_marina	Zostera marina	Embryophyta	50
